Year,Citation,Link,Category,Sub Cat,Quote, ,Background Purpose,Background Purpose (sub cat),further research
,Argent (cite),,,,"The new, off-chain recovery method 
The new process combines encryption and Cloud storage. As with recovery with guardians, we built it to protect you even if an attacker somehow seizes control of your device. Argent is the only wallet that offers this level of security. Here's how to use it.
Opt-in to the new approach (before you lose your device)
Existing wallet owners need to enable the new method before they can make a recovery with it. You need to do this before you lose your device. To set it up, you'll either see a prompt when you open Argent or you can tap:
The account switcher icon (top left of home screen)
'Settings'
'Wallet Recovery'
Enable 'Recovery with iCloud / Google Drive' (depending on your device)
To recover your wallet
Download Argent on your new device
Tap 'I have an Argent wallet'
Enter the email address you use for your Argent wallet
Choose 'Recover with iCloud / Google Drive'
Complete two-factor authentication using email and SMS
Wait for the 48 hour security window to complete (this gives you time to cancel the recovery if you want)
Done. 
",,,,
,Argent (cite),,,,"How does the new recovery process work?
The new recovery process uses encryption and cloud storage to ensure that your private keys are protected. It works as follows.
When you enable ‘Recovery with iCloud / Google Drive’, the Argent app generates a random “key-encryption-key” (KEK) that is unique to you. (A KEK is a cryptographic key that is used for the encryption or decryption of other keys).
Your KEK will encrypt your private keys (plural because it applies to both Layer 1 and Layer 2 private keys, even if you only have one type of wallet). 
The encrypted private keys are then stored in your iCloud / Google Drive under your control. Your KEK, meanwhile, is sent to Argent (meaning the company’s infrastructure, not the app). 
This split gives you added protection. If anyone gets access to your iCloud or Google Drive, they can’t decrypt your keys without the KEK that Argent has. And if a malicious actor gets access to our infrastructure, they won’t be able to access your wallet as they won’t have your encrypted private keys.
When you need to recover your wallet, the first thing that will happen is that the Argent app will try to detect your encrypted private keys stored on iCloud / Google Drive. If they’re detected, two-factor authentication is used to verify that you’re the legitimate wallet owner. 
Once this is complete, a 48 hour recovery window starts. This is an additional security layer that gives you time to cancel it if you wish via your Argent security centre (security.argent.xyz). 
After 48 hours, your KEK is securely transferred to your device, which will decrypt and recover your private keys. This gives you back access to your wallet.


",,,,
,Argent (cite),,,,"FAQs
The following section covers some likely questions we imagine people may have.
What happens if I lose access to my cloud storage or delete my encrypted keys?
You’ll always be able to recover your wallet using social recovery with guardians. 
If you haven’t activated your Argent Vault (our existing, Layer 1 wallet) as you only have a L2 zkSync wallet, you’ll need to activate your L1 wallet. This will require a gas fee but will let you recover successfully from there. 
Once you’ve recovered your wallet, you can set up off-chain recovery again. 
Can Apple or Google delete my encrypted private keys?
In the extremely unlikely event that Apple or Google deleted your encrypted private keys, you could always recover your account by using guardians. 
Can Apple or Google take my assets?
No. Accessing your assets requires the encrypted keys stored on the cloud and the KEK that Argent holds. We can always delete your KEK if you suspect someone getting into your cloud storage. 
How can I recover my wallet if iCloud or Google Drive goes down?
You can use social recovery (with gas) or wait until cloud storage goes back online.
Can I use separate email addresses for Argent and cloud storage?
Yes. The email you use for Argent and the cloud storage can be different. 
Can I disable the off-chain recovery method for my wallet?
For existing users, it's opt-in. For future users, it will be set up automatically, but you can just delete the encrypted keys from your cloud storage and disable it that way.
How is it different from Cloud-based recovery using standard Ethereum wallets?
With some standard Ethereum wallets, you have a password that encrypts your seed phrase. It is used to unlock your wallet. If you lose your password and seed phrase, you lose everything.
What happens if I’m a victim of a SIM swap scam - can they recover my wallet?
We’ve made sure to layer up security throughout the recovery process to eliminate a single point of failure like a SIM swap. 
For a hacker to access your wallet, they will need your encrypted private keys stored on either iCloud or Google Drive, details for your two-factor authentication and they would have to wait 48 hours before the KEK that Argent stores gets sent to the Argent app to unlock your wallet. 
If the recovery process for your wallet has been fraudulently triggered, you can cancel the request within 48 hours in our security centre. This is why we have the 48 hour recovery period.",,,,
2017,"Berlee, A. (2017). Digital inheritance in the Netherlands. J. Eur. Consumer & Mkt. L., 6, 256.",file:///Users/justingoldston/Downloads/SSRN_id3082802.pdf,,,"Property can be acquired in one of two ways in Dutch law: by general or particular title.6 This distinction is important in relation to claims that may be part of a will. Succession is an example of acquisition by general title,7 whereas acquisition based on a transfer is one of the most common forms of acquisition by particular title.8 Another example of acquisition by particular title is the bequest (legaat), 9 which is the testamentary disposition by which a testator grants one or more persons a right of claim. 10 The (joint) heirs will still succeed by operation of law to the rights capable of transmission, including any and all claims, however the (joint) heirs will have to deliver the specifically bequested claims to the legatee. 11 This acquisition of property by the legatee is acquisition by particular title.",,,,
,,,,,"There are no specific rules that apply solely to the winding up of a digital inheritance. Digital assets are therefore inherited in the same manner as any other type of asset. Heirs succeed by operation of law to the rights capable of transmission and to whatever the deceased possessed or held, whether this was digital or material. Contracts are continued under the same conditions by the (joint) heirs, unless specifically stated otherwise in the contract, 18 and property is held or possessed by the (joint) heirs under the same conditions.19 A specific issue arises when the deceased has bequested certain digital assets. This is not always successful when it concerns a digital asset which has been made non-transferrable. For example, a claim in relation to specific digital content may therefore pass to the heirs but cannot be the subject of a bequest. Contracts for digital services are discussed first, after which the issue of licenses and legatees are discussed.",,,,
,,,,,"It is generally assumed that the right to privacy, as it is a personality right,49 is not heritable. Upon death the personality rights generally end. However, based on several specific arrangements made in the law,50 authors have argued that the right to privacy may nevertheless persist in certain cases.51 If one considers that constitutional rights may sometimes extend to the dead as well, it is interesting to note that the constitutional right to protection of private communication embodied in Article 13 of the Dutch Constitution, the so-called postal-secret, is currently in the process of being amended to explicitly include electronic communication as well.5",,,,
,,,,,"While there has been fairly little attention paid to the legal implications of a digital inheritance in scholarly literature65 and by the legislator,66 the matter has been featured on numerous occasions in the newspaper,67 and professional magazines for notaries for example.68 Even in TV-commercials the matter of one’s digital inheritance was discussed. 69 These articles and initiatives do not resolve or discuss the legal issues so much, rather they provide practical solutions to the plethora of digital accounts of the deceased in existence and access thereto. For example, it has been advanced that notaries could discuss the insertion of a ‘socialmedia-executor’ clause into the will, i.e. someone who is responsible for the winding up of these accounts. 70 Alternatively, the client could add a list of accounts and passwords to the will, 71 and the Royal Dutch Association of Civil-law Notaries has supported the development of a ‘digital vault’ where clients can store their data.72 These services of online vaults for passwords are also provided by companies which offer password managers, such as LastPass and 1Password.73 Some years prior, certain Dutch banks also provided the option of a digital vault, but they have since abandoned this practice.74",,,,
2022,"Doussan, T. (2022, March 10). Interview With Tyler Doussan From Safe Haven (SHA)!: Digital Assets Daily [Video]. YouTube. https://youtu.be/RrBESAKm0Hk",,,,"EVM base chains are going to be easier to add. Those are going to be quickest, So we're going to be working on adding some other EVM chains before we start branching out to some non-EVM chains.",,,,
2022,"Doussan, T. (2022, March 10). Interview With Tyler Doussan From Safe Haven (SHA)!: Digital Assets Daily [Video]. YouTube. https://youtu.be/RrBESAKm0Hk",,,,"For the patents because the founders are from Belgium and in what not so USA different. Yeah, so But um, everything's approved and everything's 100% protected and in the USA as far as the intellectual property goes. And Europe is almost fully granted, we just got done, I'm singling down to the last couple selections, because here's the deal. There's, there's like 27 different areas where you can get the claim filed within Europe. But we're only going to be targeting like, five, maybe seven, let me get the exact number right in between five and seven different countries for getting fully registered.",,,,
2022,"Doussan, T. (2022, March 10). Interview With Tyler Doussan From Safe Haven (SHA)!: Digital Assets Daily [Video]. YouTube. https://youtu.be/RrBESAKm0Hk",,,,"So this safety device right here, it stores the plan shares created whenever you create a decentralized inheritance or Personal Backup plan. And how does that process work? So you go to inherit t.com. And you sign in with the safe ID account. That's essentially your account to asset access all of our product platforms. And after you log in, and you select the the Family Circle plan, which is our Community Edition, you'll be able to start filling out all the plan details, and who's going to be receiving the inheritable data. And all that data that you type in there, such as phrases to get the wallets such as like on recovering them, right, and accessing exchange accounts. So login credentials, username and password. And it could even be like food recipes or trade secrets, formulas, stuff like stuff like that. But all that data, it gets encrypted utilizing military grade encryption. And for those who want to know what type of encryption that is, that's SHA 256. So after it gets encrypted, it gets fragmented split into multiple different shares. And that's basically this secure share distribution protocol. That's the intellectual property being patented and protected, right. So after it gets split into multiple different shares, what happens is, most of the plant shares get stored on these cold storage devices. And they're pincode protected. So each one is going to have a specific thing encode that you have to give to the beneficiary. And when the owner of the state passes away, all the heirs will meet back up. And they're going to meet with the merge authority. So the merge authority is the person in charge of ensuring that all the assets are distributed properly. Because it's important that everybody understands, we don't have anything to do with distributing whatever is involved with that inheritance plan or Personal Backup plan. Because we don't even know its own, there is just a plan like data that gets fragmented and only those who have those plan shares to combine them back and see that that data so that merge authority is going to be responsible for saying, Okay, this area gets this percentage or that percentage, etc. And after all the plan shares are combined between the heirs and the merge authority. There's still one plan shared message. And that's what makes our protocol so safe. That's the validator share, it's on the blockchain. So the only way you can unlock that validator share is by allowing the deadman switch the deadman’s switch to go on answered and the amount of time depends on the owner of estate. So whenever there's some setting up the plan, they can say if they want it to be a matter of days, weeks, months, etc. And once that time passes, that share unlocks all the heirs are going to have to meet back up with the merge authority. And then whenever they go to combine their plant shares again and they each insert their PIN codes because they're PIN protected. They'll be able to combine it with that validated because there'll be a locked in and then they can see all the inheritable data. So they'll be able to use that data in whichever way possible because some people might not even want to use it for backing up mnemonic phrases, they might just want to use it for backing up a really, really secret message or phrase or, or something, right? Like, it doesn't even have to be crypto-related. That's, that's what's so beautiful about our services. It's, it's powered by crypto technology, the blockchain and you have to use the safe haven tokens. It's 10,000 SHA agreed lifetime plan.",,,,
2022,"Han, S., & Park, S. (2022). A Gap Between Blockchain and General Data Protection Regulation: A Systematic Review. IEEE Access.",,,,,,,,
2020,"Taylor, P. J., Dargahi, T., Dehghantanha, A., Parizi, R. M., & Choo, K. K. R. (2020). A systematic literature review of blockchain cyber security. Digital Communications and Networks, 6(2), 147-156.",,,,,,,,
2021,"Soltani, R., Nguyen, U. T., & An, A. (2021). A survey of self-sovereign identity ecosystem. Security and Communication Networks, 2021.",https://downloads.hindawi.com/journals/scn/2021/8873429.pdf,,,,,,,
2019,"Ferdous, M. S., Chowdhury, F., & Alassafi, M. O. (2019). In search of self-sovereign identity leveraging blockchain technology. IEEE Access, 7, 103059-103079.",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8776589,,,,,,,
2019,"Satybaldy, A., Nowostawski, M., & Ellingsen, J. (2019, August). Self-sovereign identity systems. In IFIP International Summer School on Privacy and Identity Management (pp. 447-461). Springer, Cham.",https://ntnuopen.ntnu.no/ntnu-xmlui/bitstream/handle/11250/2731400/SSI%2Bsystems%2Bevaluation%2Bframework.pdf?sequence=2,,,,,,,
2020,"Zwitter, A. J., Gstrein, O. J., & Yap, E. (2020). Digital identity and the blockchain: universal identity management and the concept of the “Self-Sovereign” individual. Frontiers in Blockchain, 3, 26.",https://www.frontiersin.org/articles/10.3389/fbloc.2020.00026/full,,,,,,,
2021,"Laatikainen, G., Kolehmainen, T., Li, M., Hautala, M., Kettunen, A., & Abrahamsson, P. (2021). Towards a trustful digital world: exploring self-sovereign identity ecosystems. arXiv preprint arXiv:2105.15131.",https://arxiv.org/pdf/2105.15131.pdf,,,,,,,
2020,"Wang, F., & De Filippi, P. (2020). Self-sovereign identity in a globalized world: Credentials-based identity systems as a driver for economic inclusion. Frontiers in Blockchain, 28.",https://www.frontiersin.org/articles/10.3389/fbloc.2019.00028/full?field=&id=496586&journalName=Frontiers_in_Blockchain&utm_campaign=Email_publication&utm_content=T1_11.5e1_author&utm_medium=Email&utm_source=Email_to_authors_,,,,,,,
2018,"Stokkink, Q., & Pouwelse, J. (2018, July). Deployment of a blockchain-based self-sovereign identity. In 2018 IEEE international conference on Internet of Things (iThings) and IEEE green computing and communications (GreenCom) and IEEE cyber, physical and social computing (CPSCom) and IEEE smart data (SmartData) (pp. 1336-1342). IEEE.",https://arxiv.org/pdf/1806.01926.pdf,,,,,,,
2019,"Van Bokkem, D., Hageman, R., Koning, G., Nguyen, L., & Zarin, N. (2019). Self-sovereign identity solutions: The necessity of blockchain technology. arXiv preprint arXiv:1904.12816.",https://arxiv.org/pdf/1904.12816.pdf,,,,,,,
2020,"Kondova, G., & Erbguth, J. (2020, March). Self-sovereign identity on public blockchains and the GDPR. In Proceedings of the 35th Annual ACM Symposium on Applied Computing (pp. 342-345).",https://irf.fhnw.ch/bitstream/handle/11654/31831/3341105.3374066_SSI_ACM_DL.pdf?sequence=1&isAllowed=y,,,,,,,
2021,"Haque, A. B., Islam, A. N., Hyrynsalmi, S., Naqvi, B., & Smolander, K. (2021). GDPR compliant blockchains–a systematic literature review. IEEE Access, 9, 50593-50606.",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9389714,,,,,,,
2021,"Shuaib, M., Daud, S. M., & Alam, S. (2021). Self-sovereign Identity framework development in compliance with Self sovereign Identity principles using components. International Journal of Modern Agriculture, 10(2), 3277-3296.",file:///Users/justingoldston/Downloads/1155-Article%20Text-2019-1-10-20210513.pdf,,,,,,,
2020,"Dündar, Y., & Sertkaya, I. (2020). SELF SOVEREIGN IDENTITY BASED MUTUAL GUARDIANSHIP. Journal of Modern Technology and Engineering, 5(3), 189-211.",http://jomardpublishing.com/UploadFiles/Files/journals/JTME/V5N3/Dundar_Sertkaya.pdf,,,,,,,
2022,"Schardong, F., & Custódio, R. (2022). Self-Sovereign Identity: A Systematic Review, Mapping and Taxonomy. Sensors, 22(15), 5641.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9371034/,Self-Sovereign Identity:,,,,,,
2022,"Ishmaev, G. (2021). Sovereignty, privacy, and ethics in blockchain-based identity management systems. Ethics and Information Technology, 23(3), 239-252.",https://link-springer-com.ezaccess.libraries.psu.edu/content/pdf/10.1007/s10676-020-09563-x.pdf,,,,,,,
